정류장번호,정류장명,위도,경도,도시명,reason,detail
GGB500000100,빙하리,37.78785,127.5321,강원특별자치도 춘천시,outside_region,contained:강원특별자치도
GGB277102670,빙하리(미정차),37.8179333,127.5370667,강원특별자치도 춘천시,outside_region,contained:강원특별자치도
GGB500000102,빙하리종점,37.7761833,127.53955,강원특별자치도 춘천시,outside_region,contained:강원특별자치도
GGB165000924,사리울중학교,37.3859667,126.7197833,인천광역시,outside_region,contained:인천광역시
GGB165000838,사리울중학교,37.3867167,126.7205,인천광역시,outside_region,contained:인천광역시
GGB165000713,사리울초등학교후문,37.38905,126.72335,인천광역시,outside_region,contained:인천광역시
GGB168000019,사조해표,37.4873667,126.6610167,인천광역시,outside_region,contained:인천광역시
GGB168000020,사조해표,37.4875333,126.6605667,인천광역시,outside_region,contained:인천광역시
GGB282500010,사평리,37.0349833,128.3971167,충청북도 단양군,outside_region,contained:충청북도
GGB282500020,사평리,37.0348667,128.3971,충청북도 단양군,outside_region,contained:충청북도
GGB166000525,삭은다리한국지엠,37.5108,126.7209667,인천광역시,outside_region,contained:인천광역시
GGB166000785,산곡동입구(롯데마트),37.5053333,126.70345,인천광역시,outside_region,contained:인천광역시
GGB166000473,산곡동천주교회,37.51245,126.7036667,인천광역시,outside_region,contained:인천광역시
GGB166000476,산곡동천주교회,37.5125,126.704,인천광역시,outside_region,contained:인천광역시
GGB166000198,산곡여자중학교,37.4972167,126.7025667,인천광역시,outside_region,contained:인천광역시
GGB166000203,산곡여자중학교,37.4981167,126.7022667,인천광역시,outside_region,contained:인천광역시
GGB166000420,산곡역1번출구,37.5083833,126.7043833,인천광역시,outside_region,contained:인천광역시
GGB166000856,산곡역3번출구,37.506,126.7031333,인천광역시,outside_region,contained:인천광역시
GGB166000429,산곡역6번출구,37.5094333,126.7034333,인천광역시,outside_region,contained:인천광역시
GGB166000425,산곡역7번출구,37.5091,126.7037333,인천광역시,outside_region,contained:인천광역시
GGB169000107,산문입구,37.6853833,126.4193333,인천광역시,outside_region,contained:인천광역시
GGB169000286,산문입구,37.6857333,126.4192667,인천광역시,outside_region,contained:인천광역시
GGB163000460,산업단지사거리,37.4820167,126.6598833,인천광역시,outside_region,contained:인천광역시
GGB168000525,산업용품센타,37.4877833,126.6562667,인천광역시,outside_region,contained:인천광역시
GGB168000524,산업용품센타,37.4873667,126.6564,인천광역시,outside_region,contained:인천광역시
GGB162000146,산업용품유통센터1동,37.4889,126.65355,인천광역시,outside_region,contained:인천광역시
GGB277101084,산월IC(미정차),35.20305,126.8396667,경기도 광주시,outside_region,far
GGB277101083,산월IC(미정차),35.2031667,126.8391167,경기도 광주시,outside_region,far
GGB272500070,산척,37.0809333,127.9569167,충청북도 충주시,outside_region,contained:충청북도
GGB272500080,산척,37.0806167,127.9568,충청북도 충주시,outside_region,contained:충청북도
GGB277101049,삼례IC(미정차),35.9250333,127.0788,전라북도 익산시,outside_region,far
GGB277101050,삼례IC(미정차),35.9246,127.07885,전라북도 익산시,outside_region,far
GGB312500010,삼례시외버스터미널,35.9097,127.0749333,전라북도 완주군,outside_region,far
GGB312500020,삼례시외버스터미널,35.9103333,127.07485,전라북도 완주군,outside_region,far
GGB166000172,삼미타운.e편한세상아파트,37.4850833,126.7346167,인천광역시,outside_region,contained:인천광역시
GGB166000796,삼보새마을금고,37.5195167,126.7378833,인천광역시,outside_region,contained:인천광역시
GGB166000677,삼보아파트,37.5219,126.7380833,인천광역시,outside_region,contained:인천광역시
GGB166000679,삼보아파트,37.5219667,126.73825,인천광역시,outside_region,contained:인천광역시
GGB166000786,삼보아파트,37.5047333,126.6985667,인천광역시,outside_region,contained:인천광역시
GGB166000308,삼보아파트,37.5045333,126.6986833,인천광역시,outside_region,contained:인천광역시
GGB168000351,삼보아파트,37.5622167,126.6731167,인천광역시,outside_region,contained:인천광역시
GGB168000350,삼보아파트,37.5620667,126.6732833,인천광역시,outside_region,contained:인천광역시
GGB167000205,삼보아파트(계양구청),37.5376167,126.7402833,인천광역시,outside_region,contained:인천광역시
GGB166000584,삼산경찰서,37.51125,126.7339333,인천광역시,outside_region,contained:인천광역시
GGB166000689,삼산고등학교.미래타운3단지,37.5220167,126.7456,인천광역시,outside_region,contained:인천광역시
GGB166000686,삼산고등학교.미래타운4단지,37.52185,126.74475,인천광역시,outside_region,contained:인천광역시
GGB166000527,삼산글로리병원,37.5069833,126.7353167,인천광역시,outside_region,contained:인천광역시
GGB166000687,삼산농산물시장,37.5212667,126.7466333,인천광역시,outside_region,contained:인천광역시
GGB166000638,삼산사거리,37.5165333,126.73245,인천광역시,outside_region,contained:인천광역시
GGB166000690,삼산사거리,37.5176667,126.73325,인천광역시,outside_region,contained:인천광역시
GGB166000646,삼산사거리(한국아파트),37.5173833,126.73435,인천광역시,outside_region,contained:인천광역시
GGB166000645,삼산사거리.한국아파트,37.5176333,126.7340167,인천광역시,outside_region,contained:인천광역시
GGB166000668,삼산새마을금고,37.51985,126.7380667,인천광역시,outside_region,contained:인천광역시
GGB166000589,삼산서해그랑블,37.5097667,126.7411667,인천광역시,outside_region,contained:인천광역시
GGB166000613,삼산서해아파트,37.5120167,126.7405,인천광역시,outside_region,contained:인천광역시
GGB166000535,삼산월드체육관,37.5068833,126.7380167,인천광역시,outside_region,contained:인천광역시
GGB166000571,삼산월드체육관,37.5084833,126.7396333,인천광역시,outside_region,contained:인천광역시
GGB166000532,삼산월드체육관,37.5064833,126.7372667,인천광역시,outside_region,contained:인천광역시
GGB166000543,삼산월드체육관,37.5067833,126.7392,인천광역시,outside_region,contained:인천광역시
GGB166000802,삼산월드체육관(삼산주공6단지),37.5085333,126.7377667,인천광역시,outside_region,contained:인천광역시
GGB166000780,삼산주공1단지,37.5172,126.7408333,인천광역시,outside_region,contained:인천광역시
GGB166000591,삼산주공4단지,37.5099333,126.7414667,인천광역시,outside_region,contained:인천광역시
GGB166000801,삼산주공7단지,37.50875,126.7340167,인천광역시,outside_region,contained:인천광역시
GGB166000547,삼산주공7단지,37.5084833,126.7340333,인천광역시,outside_region,contained:인천광역시
GGB166000637,삼산중학교,37.5162,126.7354833,인천광역시,outside_region,contained:인천광역시
GGB166000636,삼산중학교,37.5160833,126.7352167,인천광역시,outside_region,contained:인천광역시
GGB166000536,삼산체육관역(호수공원),37.50535,126.7423833,인천광역시,outside_region,contained:인천광역시
GGB166000588,삼산타운1단지,37.51265,126.7319833,인천광역시,outside_region,contained:인천광역시
GGB166000585,삼산타운1단지정문,37.51155,126.7336833,인천광역시,outside_region,contained:인천광역시
GGB166000611,삼산타운1단지후문,37.5135667,126.7350167,인천광역시,outside_region,contained:인천광역시
GGB166000612,삼산타운1단지후문,37.51355,126.7353167,인천광역시,outside_region,contained:인천광역시
GGB166000608,삼산타운4단지,37.5107,126.74365,인천광역시,outside_region,contained:인천광역시
GGB166000580,삼산타운6단지,37.50945,126.7366333,인천광역시,outside_region,contained:인천광역시
GGB166000576,삼산타운7단지,37.5098,126.7364333,인천광역시,outside_region,contained:인천광역시
GGB166000653,삼산푸른솔마을,37.5169667,126.7400667,인천광역시,outside_region,contained:인천광역시
GGB165000920,삼성바이오로직스,37.3690333,126.65685,인천광역시,outside_region,contained:인천광역시
GGB281000008,삼성시장,37.0194167,127.4978667,충청북도 음성군,outside_region,contained:충청북도
GGB281000011,삼성시장,37.0195333,127.4978,충청북도 음성군,outside_region,contained:충청북도
GGB164000077,삼성아파트,37.4073333,126.677,인천광역시,outside_region,contained:인천광역시
GGB161000140,삼성아파트,37.4656667,126.6298833,인천광역시,outside_region,contained:인천광역시
GGB281000010,삼성터미널,37.0206667,127.4998333,충청북도 음성군,outside_region,contained:충청북도
GGB281000009,삼성터미널,37.0205667,127.49995,충청북도 음성군,outside_region,contained:충청북도
GGB281000012,삼성휴먼시아아파트,37.0188,127.4956833,충청북도 음성군,outside_region,contained:충청북도
GGB281000007,삼성휴먼시아아파트,37.0186833,127.4957833,충청북도 음성군,outside_region,contained:충청북도
GGB168000027,삼양사인천1공장,37.4848,126.6772,인천광역시,outside_region,contained:인천광역시
GGB168000031,삼양사인천1공장,37.4848667,126.6777167,인천광역시,outside_region,contained:인천광역시
GGB168000068,삼영물류,37.499,126.6539333,인천광역시,outside_region,contained:인천광역시
GGB163000279,삼영아파트,37.4479833,126.6911833,인천광역시,outside_region,contained:인천광역시
