stop_key,ggb_id,seb_id,ggb_name,seb_name,dist_m,ggb_ars,seb_ars,sgg_nm,names_compatible,decision
121900317,GGB121900317,SEB121900317,서초포레스타5단지정문,서초포레스타5단지정문,54.1,22068,22068,서초구,1,merged_far
123000681,GGB123000681,SEB123000681,송파위례리슈빌,송파위례리슈빌,53.8,24428,24428,송파구,1,merged_far
123000565,GGB123000565,SEB123000565,파크데일아파트1단지앞,파크데일아파트1단지앞,53.1,24104,24104,송파구,1,merged_far
122000309,GGB122000309,SEB122000309,세곡동,세곡동,53.0,23416,23416,강남구,1,merged_far
122000717,GGB122000717,SEB122000717,고속철도수서역,고속철도수서역,52.9,23320,23320,강남구,1,merged_far
122000723,GGB122000723,SEB122000723,코엑스도심공항,코엑스도심공항,52.7,23801,23801,강남구,1,merged_far
116000094,GGB116000094,SEB116000094,궁동청소년문화의집,궁동청소년문화의집,52.6,17180,17180,구로구,1,merged_far
119000105,GGB119000105,SEB119000105,동작구청.장승배기역,동작구청.장승배기역,52.4,20198,20198,동작구,1,merged_far
111000159,GGB111000159,SEB111000159,불광역.불광1동주민센터,불광역.불광1동주민센터,52.1,12249,12249,은평구,1,merged_far
120000016,GGB120000016,SEB120000016,난곡입구,난곡입구,51.9,21115,21115,관악구,1,merged_far
110000327,GGB110000327,SEB110000327,한성여객종점,한성여객종점,51.8,11428,11428,노원구,1,merged_far
114000105,GGB114000105,SEB114000105,양천노인종합복지관,양천어르신종합복지관,51.8,15208,15208,양천구,0,split
100000065,GGB100000065,SEB100000065,롯데아파트,롯데아파트,51.6,01160,01160,종로구,1,merged_far
109900061,GGB109900061,SEB109900061,대우.삼성서비스센터,대우.삼성서비스센터,51.5,10592,10592,도봉구,1,merged_far
116000603,GGB116000603,SEB116000603,롯데시티호텔구로,롯데시티호텔구로,51.2,17751,17751,구로구,1,merged_far
111000218,GGB111000218,SEB111000218,신진과학기술고등학교,신진과학기술고등학교,51.1,12308,12308,은평구,1,merged_far
114000095,GGB114000095,SEB114000095,갈산초등학교후문,갈산초등학교후문,51.0,15198,15198,양천구,1,merged_far
106000207,GGB106000207,SEB106000207,신내데시앙아파트.신내역프라디움,신내데시앙아파트.신내역프라디움,50.9,07302,07302,중랑구,1,merged_far
117900018,GGB117900018,SEB117900018,한진택배,한진택배,50.9,18806,18806,금천구,1,merged_far
105000017,GGB105000017,SEB105000017,동대문구청(중),동대문구청,50.7,06017,06017,동대문구,1,merged_far
118000005,GGB118000005,SEB118000005,영등포역(중),영등포역,50.6,19005,19005,영등포구,1,merged_far
114000425,GGB114000425,SEB114000425,신정이펜하우스3.4단지,신정이펜하우스3.4단지,50.6,15421,15421,양천구,1,merged_far
116900006,GGB116900006,SEB116900006,유한공고.성공회대앞,유한공고.성공회대앞,50.5,17682,17682,구로구,1,merged_far
121000051,GGB121000051,SEB121000051,서초그랑자이아파트,서초그랑자이아파트,50.3,22127,22127,서초구,1,merged_far
122000067,GGB122000067,SEB122000067,영동교입구,영동대교남단,50.3,23169,23169,강남구,0,split
121001327,GGB121001327,SEB121001327,내방역1번출구,내방역1번출구,50.3,22415,22415,서초구,1,merged_far
121900313,GGB121900313,SEB121900313,서초더샵포레,서초더샵포레,50.2,22526,22526,서초구,1,merged_far
