stop_key,name,name_norm,name_key,aliases,lat,lon,sido_cd,sido_nm,sgg_cd,sgg_nm,region_method,snap_dist_m,source_ids,rep_source,ars_nos,merge_status,twin_dist_m,is_virtual,raw_city_label
233003120,반도유보라6차,반도유보라6차,반도유보라6차,,37.2048667,127.0908500,41,경기도,41590,화성시,contain,,GGB233003120,GGB,55516,single,,0,경기도 화성시
233003121,반도유보라6차,반도유보라6차,반도유보라6차,,37.2045833,127.0910000,41,경기도,41590,화성시,contain,,GGB233003121,GGB,55517,single,,0,경기도 화성시
233003122,동탄2차고지,동탄2차고지,동탄2차고지,,37.1554000,127.1016500,41,경기도,41590,화성시,contain,,GGB233003122,GGB,55518,single,,0,경기도 화성시
233003123,동탄2차고지,동탄2차고지,동탄2차고지,,37.1555167,127.1012667,41,경기도,41590,화성시,contain,,GGB233003123,GGB,55519,single,,0,경기도 화성시
233003124,동탄테크노밸리,동탄테크노밸리,동탄테크노밸리,,37.2124500,127.0995833,41,경기도,41590,화성시,contain,,GGB233003124,GGB,55520,single,,0,경기도 화성시
233003125,동탄테크노밸리,동탄테크노밸리,동탄테크노밸리,,37.2122833,127.0988167,41,경기도,41590,화성시,contain,,GGB233003125,GGB,55521,single,,0,경기도 화성시
233003126,아이원.호수자이파밀리에,아이원.호수자이파밀리에,아이원호수자이파밀리에,,37.1610167,127.1047833,41,경기도,41590,화성시,contain,,GGB233003126,GGB,55522,single,,0,경기도 화성시
233003127,금호어울림.계룡리슈빌,금호어울림.계룡리슈빌,금호어울림계룡리슈빌,,37.1639000,127.1069500,41,경기도,41590,화성시,contain,,GGB233003127,GGB,55523,single,,0,경기도 화성시
233003128,동탄호수공원.센트럴시티,동탄호수공원.센트럴시티,동탄호수공원센트럴시티,,37.1668167,127.1070167,41,경기도,41590,화성시,contain,,GGB233003128,GGB,55524,single,,0,경기도 화성시
233003129,호반6차,호반6차,호반6차,,37.1572333,127.1125167,41,경기도,41590,화성시,contain,,GGB233003129,GGB,55525,single,,0,경기도 화성시
233003130,롯데캐슬.제일풍경채,롯데캐슬.제일풍경채,롯데캐슬제일풍경채,,37.1579167,127.1089000,41,경기도,41590,화성시,contain,,GGB233003130,GGB,55526,single,,0,경기도 화성시
233003131,호수자이파밀리에,호수자이파밀리에,호수자이파밀리에,,37.1592167,127.1060333,41,경기도,41590,화성시,contain,,GGB233003131,GGB,55527,single,,0,경기도 화성시
233003132,호수자이파밀리에.아이원,호수자이파밀리에.아이원,호수자이파밀리에아이원,,37.1607333,127.1052000,41,경기도,41590,화성시,contain,,GGB233003132,GGB,55528,single,,0,경기도 화성시
233003133,레이크반도9차,레이크반도9차,레이크반도9차,,37.1619000,127.1161167,41,경기도,41590,화성시,contain,,GGB233003133,GGB,55529,single,,0,경기도 화성시
233003134,동탄2아이파크1단지,동탄2아이파크1단지,동탄2아이파크1단지,,37.1613167,127.1194667,41,경기도,41590,화성시,contain,,GGB233003134,GGB,55530,single,,0,경기도 화성시
233003135,동탄2아이파크2단지,동탄2아이파크2단지,동탄2아이파크2단지,,37.1600333,127.1200333,41,경기도,41590,화성시,contain,,GGB233003135,GGB,55531,single,,0,경기도 화성시
233003136,동탄호수공원,동탄호수공원,동탄호수공원,,37.1671667,127.1064333,41,경기도,41590,화성시,contain,,GGB233003136,GGB,55532,single,,0,경기도 화성시
233003137,계룡리슈빌.금호어울림,계룡리슈빌.금호어울림,계룡리슈빌금호어울림,,37.1646500,127.1064500,41,경기도,41590,화성시,contain,,GGB233003137,GGB,55533,single,,0,경기도 화성시
233003138,금강팬테리움,금강팬테리움,금강팬테리움,,37.2830667,126.8192167,41,경기도,41590,화성시,contain,,GGB233003138,GGB,55534,single,,0,경기도 화성시
233003139,금강팬트리움,금강팬트리움,금강팬트리움,,37.2833167,126.8196000,41,경기도,41590,화성시,contain,,GGB233003139,GGB,55535,single,,0,경기도 화성시
233003140,대방노블랜드3차,대방노블랜드3차,대방노블랜드3차,,37.2868500,126.8162667,41,경기도,41590,화성시,contain,,GGB233003140,GGB,55536,single,,0,경기도 화성시
233003141,반도유보라,반도유보라,반도유보라,,37.2804667,126.8226667,41,경기도,41590,화성시,contain,,GGB233003141,GGB,55537,single,,0,경기도 화성시
233003142,반도유보라.아이비파크,반도유보라.아이비파크,반도유보라아이비파크,,37.2786333,126.8222000,41,경기도,41590,화성시,contain,,GGB233003142,GGB,55538,single,,0,경기도 화성시
233003143,반도유보라.아이비파크,반도유보라.아이비파크,반도유보라아이비파크,,37.2783333,126.8219667,41,경기도,41590,화성시,contain,,GGB233003143,GGB,55539,single,,0,경기도 화성시
233003144,새솔고,새솔고,새솔고,,37.2742333,126.8277833,41,경기도,41590,화성시,contain,,GGB233003144,GGB,55540,single,,0,경기도 화성시
233003145,새솔고,새솔고,새솔고,,37.2745500,126.8279000,41,경기도,41590,화성시,contain,,GGB233003145,GGB,55541,single,,0,경기도 화성시
233003146,에코팜타운,에코팜타운,에코팜타운,,37.2879333,126.8091167,41,경기도,41590,화성시,contain,,GGB233003146,GGB,55542,single,,0,경기도 화성시
233003147,이지더원,이지더원,이지더원,,37.2838167,126.8221333,41,경기도,41590,화성시,contain,,GGB233003147,GGB,55543,single,,0,경기도 화성시
233003148,휴먼빌,휴먼빌,휴먼빌,,37.2805667,126.8228833,41,경기도,41590,화성시,contain,,GGB233003148,GGB,55544,single,,0,경기도 화성시
233003149,금강팬테리움,금강팬테리움,금강팬테리움,,37.2838000,126.8219167,41,경기도,41590,화성시,contain,,GGB233003149,GGB,55545,single,,0,경기도 화성시
233003150,대방노블랜드3차,대방노블랜드3차,대방노블랜드3차,,37.2865500,126.8161000,41,경기도,41590,화성시,contain,,GGB233003150,GGB,55546,single,,0,경기도 화성시
233003151,에코팜타운,에코팜타운,에코팜타운,,37.2877000,126.8070000,41,경기도,41590,화성시,contain,,GGB233003151,GGB,55547,single,,0,경기도 화성시
233003152,대방노블랜드1차,대방노블랜드1차,대방노블랜드1차,,37.2864667,126.8202833,41,경기도,41590,화성시,contain,,GGB233003152,GGB,55548,single,,0,경기도 화성시
233003153,요진Y시티,요진Y시티,요진y시티,,37.2865833,126.8204667,41,경기도,41590,화성시,contain,,GGB233003153,GGB,55549,single,,0,경기도 화성시
233003154,목동초.베라체,목동초.베라체,목동초베라체,,37.1901833,127.1249500,41,경기도,41590,화성시,contain,,GGB233003154,GGB,55551,single,,0,경기도 화성시
233003155,e편한세상동탄,e편한세상동탄,e편한세상동탄,,37.1902000,127.1266000,41,경기도,41590,화성시,contain,,GGB233003155,GGB,55552,single,,0,경기도 화성시
233003156,e편한세상동탄,e편한세상동탄,e편한세상동탄,,37.1902833,127.1258167,41,경기도,41590,화성시,contain,,GGB233003156,GGB,55553,single,,0,경기도 화성시
233003157,목동중.금강4차,목동중.금강4차,목동중금강4차,,37.1888833,127.1271167,41,경기도,41590,화성시,contain,,GGB233003157,GGB,55554,single,,0,경기도 화성시
233003158,금강4차.목동중,금강4차.목동중,금강4차목동중,,37.1893667,127.1273167,41,경기도,41590,화성시,contain,,GGB233003158,GGB,55555,single,,0,경기도 화성시
233003159,한신더휴,한신더휴,한신더휴,,37.1865500,127.1263167,41,경기도,41590,화성시,contain,,GGB233003159,GGB,55556,single,,0,경기도 화성시
233003160,경남아너스빌,경남아너스빌,경남아너스빌,,37.1864667,127.1265500,41,경기도,41590,화성시,contain,,GGB233003160,GGB,55557,single,,0,경기도 화성시
233003161,호반베르디움5차,호반베르디움5차,호반베르디움5차,,37.1838667,127.1252500,41,경기도,41590,화성시,contain,,GGB233003161,GGB,55558,single,,0,경기도 화성시
233003162,르파비스,르파비스,르파비스,,37.1834500,127.1254000,41,경기도,41590,화성시,contain,,GGB233003162,GGB,55559,single,,0,경기도 화성시
233003163,호수자이파밀리에,호수자이파밀리에,호수자이파밀리에,,37.1590667,127.1059167,41,경기도,41590,화성시,contain,,GGB233003163,GGB,55560,single,,0,경기도 화성시
233003164,롯데캐슬.제일풍경채,롯데캐슬.제일풍경채,롯데캐슬제일풍경채,,37.1574167,127.1090833,41,경기도,41590,화성시,contain,,GGB233003164,GGB,55561,single,,0,경기도 화성시
233003165,호반6차,호반6차,호반6차,,37.1570667,127.1126833,41,경기도,41590,화성시,contain,,GGB233003165,GGB,55562,single,,0,경기도 화성시
233003166,레이크반도9차,레이크반도9차,레이크반도9차,,37.1620167,127.1162333,41,경기도,41590,화성시,contain,,GGB233003166,GGB,55563,single,,0,경기도 화성시
233003167,동탄2아이파크1단지,동탄2아이파크1단지,동탄2아이파크1단지,,37.1613667,127.1199167,41,경기도,41590,화성시,contain,,GGB233003167,GGB,55564,single,,0,경기도 화성시
233003168,동탄2아이파크2단지,동탄2아이파크2단지,동탄2아이파크2단지,,37.1600000,127.1202667,41,경기도,41590,화성시,contain,,GGB233003168,GGB,55565,single,,0,경기도 화성시
233003169,파크자이2차,파크자이2차,파크자이2차,,37.2011000,127.0466833,41,경기도,41590,화성시,contain,,GGB233003169,GGB,55580,single,,0,경기도 화성시
233003170,파크자이2차,파크자이2차,파크자이2차,,37.2012500,127.0468333,41,경기도,41590,화성시,contain,,GGB233003170,GGB,55581,single,,0,경기도 화성시
233003171,파크자이1차,파크자이1차,파크자이1차,,37.2009500,127.0500333,41,경기도,41590,화성시,contain,,GGB233003171,GGB,55582,single,,0,경기도 화성시
233003172,파크자이1차,파크자이1차,파크자이1차,,37.2010833,127.0496500,41,경기도,41590,화성시,contain,,GGB233003172,GGB,55583,single,,0,경기도 화성시
233003173,협성대정문,협성대정문,협성대정문,,37.2152000,126.9520667,41,경기도,41590,화성시,contain,,GGB233003173,GGB,55618,single,,0,경기도 화성시
