chain_id,chain_name,line_group,line_raw,loop,seq,station_id,phys_id,name,lat,lon,status,source,src_no,src_name
seoul3,수도권 광역철도 3호선,3호선,3호선,0,6,seoul3-0324,seoul3-0324,홍제,37.5888510,126.9440920,db,comp,324,홍제
seoul3,수도권 광역철도 3호선,3호선,3호선,0,7,seoul3-0325,seoul3-0325,무악재,37.5826580,126.9501310,db,comp,325,무악재
seoul3,수도권 광역철도 3호선,3호선,3호선,0,8,seoul3-0326,seoul3-0326,독립문,37.5745340,126.9579020,db,comp,326,독립문
seoul3,수도권 광역철도 3호선,3호선,3호선,0,9,seoul3-0327,seoul3-0327,경복궁(정부서울청사),37.5758440,126.9735760,db,comp,327,경복궁(정부서울청사)
seoul3,수도권 광역철도 3호선,3호선,3호선,0,10,seoul3-0328,seoul3-0328,안국,37.5765620,126.9854700,db,comp,328,안국
seoul3,수도권 광역철도 3호선,3호선,3호선,0,11,seoul3-0329,seoul1-0130,종로3가,37.5715370,126.9918370,db,comp,329,종로3가
seoul3,수도권 광역철도 3호선,3호선,3호선,0,12,seoul3-0330,seoul2-0203,을지로3가,37.5662990,126.9926160,db,comp,330,을지로3가
seoul3,수도권 광역철도 3호선,3호선,3호선,0,13,seoul3-0331,seoul3-0331,충무로,37.5613820,126.9941730,db,comp,331,충무로
seoul3,수도권 광역철도 3호선,3호선,3호선,0,14,seoul3-0332,seoul3-0332,동대입구,37.5590600,127.0052730,db,comp,332,동대입구
seoul3,수도권 광역철도 3호선,3호선,3호선,0,15,seoul3-0333,seoul3-0333,약수,37.5545540,127.0108580,db,comp,333,약수
seoul3,수도권 광역철도 3호선,3호선,3호선,0,16,seoul3-0334,seoul3-0334,금호,37.5482690,127.0157850,db,comp,334,금호
seoul3,수도권 광역철도 3호선,3호선,3호선,0,17,seoul3-0335,gyeongwon-1011,옥수,37.5416530,127.0173030,db,comp,335,옥수
seoul3,수도권 광역철도 3호선,3호선,3호선,0,18,seoul3-0336,seoul3-0336,압구정,37.5261690,127.0285020,db,comp,336,압구정
seoul3,수도권 광역철도 3호선,3호선,3호선,0,19,seoul3-0337,seoul3-0337,신사,37.5164380,127.0202470,db,comp,337,신사
seoul3,수도권 광역철도 3호선,3호선,3호선,0,20,seoul3-0338,seoul3-0338,잠원,37.5129890,127.0116130,db,comp,338,잠원
seoul3,수도권 광역철도 3호선,3호선,3호선,0,21,seoul3-0339,seoul3-0339,고속터미널,37.5049530,127.0049160,db,comp,339,고속터미널
seoul3,수도권 광역철도 3호선,3호선,3호선,0,22,seoul3-0340,seoul2-0223,교대(법원·검찰청),37.4930600,127.0137960,db,comp,340,교대(법원·검찰청)
seoul3,수도권 광역철도 3호선,3호선,3호선,0,23,seoul3-0341,seoul3-0341,남부터미널(예술의전당),37.4849400,127.0162890,db,comp,341,남부터미널(예술의전당)
seoul3,수도권 광역철도 3호선,3호선,3호선,0,24,seoul3-0342,seoul3-0342,양재(서초구청),37.4845800,127.0342300,db,comp,342,양재(서초구청)
seoul3,수도권 광역철도 3호선,3호선,3호선,0,25,seoul3-0343,seoul3-0343,매봉,37.4871140,127.0469070,db,comp,343,매봉
seoul3,수도권 광역철도 3호선,3호선,3호선,0,26,seoul3-0344,bundang-1025,도곡,37.4911290,127.0556940,db,comp,344,도곡
seoul3,수도권 광역철도 3호선,3호선,3호선,0,27,seoul3-0345,seoul3-0345,대치,37.4946010,127.0634490,db,comp,345,대치
seoul3,수도권 광역철도 3호선,3호선,3호선,0,28,seoul3-0346,seoul3-0346,학여울,37.4967870,127.0708601,db,comp,346,학여울
seoul3,수도권 광역철도 3호선,3호선,3호선,0,29,seoul3-0347,seoul3-0347,대청,37.4936070,127.0795260,db,comp,347,대청
seoul3,수도권 광역철도 3호선,3호선,3호선,0,30,seoul3-0348,seoul3-0348,일원,37.4838900,127.0841600,db,comp,348,일원
seoul3,수도권 광역철도 3호선,3호선,3호선,0,31,seoul3-0349,bundang-1030,수서,37.4875000,127.1019240,db,comp,349,수서
seoul3,수도권 광역철도 3호선,3호선,3호선,0,32,seoul3-0350,seoul3-0350,가락시장,37.4923180,127.1177000,db,comp,350,가락시장
seoul3,수도권 광역철도 3호선,3호선,3호선,0,33,seoul3-0351,seoul3-0351,경찰병원,37.4957540,127.1241980,db,comp,351,경찰병원
seoul3,수도권 광역철도 3호선,3호선,3호선,0,34,seoul3-0352,seoul3-0352,오금,37.5022880,127.1283440,db,comp,352,오금
seoul4,수도권 광역철도 4호선,4호선,4호선,0,1,seoul4-0409,seoul4-0409,불암산,37.6700900,127.0790040,db,comp,409,불암산
seoul4,수도권 광역철도 4호선,4호선,4호선,0,2,seoul4-0410,seoul4-0410,상계,37.6605760,127.0731990,db,comp,410,상계
seoul4,수도권 광역철도 4호선,4호선,4호선,0,3,seoul4-0411,seoul4-0411,노원,37.6562740,127.0631830,db,comp,411,노원
seoul4,수도권 광역철도 4호선,4호선,4호선,0,4,seoul4-0412,gyeongwon-1022,창동,37.6533150,127.0483040,db,comp,412,창동
seoul4,수도권 광역철도 4호선,4호선,4호선,0,5,seoul4-0413,seoul4-0413,쌍문,37.6482740,127.0343810,db,comp,413,쌍문
seoul4,수도권 광역철도 4호선,4호선,4호선,0,6,seoul4-0414,seoul4-0414,수유(강북구청),37.6377270,127.0253710,db,comp,414,수유(강북구청)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,7,seoul4-0415,seoul4-0415,미아(서울사이버대학),37.6264350,127.0261510,db,comp,415,미아
seoul4,수도권 광역철도 4호선,4호선,4호선,0,8,seoul4-0416,seoul4-0416,미아사거리,37.6132760,127.0300830,db,comp,416,미아사거리
seoul4,수도권 광역철도 4호선,4호선,4호선,0,9,seoul4-0417,seoul4-0417,길음,37.6033870,127.0250530,db,comp,417,길음
seoul4,수도권 광역철도 4호선,4호선,4호선,0,10,seoul4-0418,seoul4-0418,성신여대입구(돈암),37.5928820,127.0169080,db,comp,418,성신여대입구(돈암)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,11,seoul4-0419,seoul4-0419,한성대입구(삼선교),37.5883800,127.0059510,db,comp,419,한성대입구(삼선교)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,12,seoul4-0420,seoul4-0420,혜화,37.5821160,127.0019290,db,comp,420,혜화
seoul4,수도권 광역철도 4호선,4호선,4호선,0,13,seoul4-0421,seoul1-0128,동대문,37.5709900,127.0092500,db,comp,421,동대문
seoul4,수도권 광역철도 4호선,4호선,4호선,0,14,seoul4-0422,seoul2-0205,동대문역사문화공원(DDP),37.5651410,127.0078080,db,comp,422,동대문역사문화공원
seoul4,수도권 광역철도 4호선,4호선,4호선,0,15,seoul4-0423,seoul3-0331,충무로,37.5613520,126.9945730,db,comp,423,충무로
seoul4,수도권 광역철도 4호선,4호선,4호선,0,16,seoul4-0424,seoul4-0424,명동,37.5609550,126.9862710,db,comp,424,명동
seoul4,수도권 광역철도 4호선,4호선,4호선,0,17,seoul4-0425,seoul4-0425,회현(남대문시장),37.5586980,126.9783460,db,comp,425,회현(남대문시장)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,18,seoul4-0426,arex-A01,서울역,37.5531720,126.9727060,db,comp,426,서울역
seoul4,수도권 광역철도 4호선,4호선,4호선,0,19,seoul4-0427,seoul4-0427,숙대입구(갈월),37.5447834,126.9721000,db,comp,427,숙대입구(갈월)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,20,seoul4-0428,seoul4-0428,삼각지(전쟁기념관),37.5344570,126.9729920,db,comp,428,삼각지(전쟁기념관)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,21,seoul4-0429,seoul4-0429,신용산,37.5290900,126.9678800,db,comp,429,신용산
seoul4,수도권 광역철도 4호선,4호선,4호선,0,22,seoul4-0430,gyeongwon-1008,이촌(국립중앙박물관),37.5223440,126.9744490,db,comp,430,이촌(국립중앙박물관)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,23,seoul4-0431,seoul4-0431,동작(현충원),37.5035670,126.9801710,db,comp,431,동작(현충원)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,24,seoul4-0432,seoul4-0432,총신대입구(이수),37.4875210,126.9823090,db,comp,432,총신대입구(이수)
seoul4,수도권 광역철도 4호선,4호선,4호선,0,25,seoul4-0433,seoul2-0226,사당,37.4762630,126.9816360,db,comp,433,사당
seoul4,수도권 광역철도 4호선,4호선,4호선,0,26,seoul4-0434,seoul4-0434,남태령,37.4643390,126.9890810,db,comp,434,남태령
seoul1,수도권 광역철도 1호선,1호선,1호선,0,1,seoul1-0124,gyeongui-1014,청량리(서울시립대입구),37.5801480,127.0450630,db,comp,124,청량리(서울시립대입구)
